date,NH4,st,dep
2010-02,67.313,BS2,s
2010-05,47.744,BS2,s
2010-08,180.018,BS2,s
2010-11,31.506,BS2,s
2011-02,145,BS2,s
2011-05,53,BS2,s
2011-08,20,BS2,s
2011-11,64,BS2,s
2012-02,32.4,BS2,s
2012-05,37.5,BS2,s
2012-08,42.7,BS2,s
2012-11,74.6,BS2,s
2013-02,208.3,BS2,s
2013-05,108,BS2,s
2013-08,16.884,BS2,s
2013-11,151.48,BS2,s
2014-02,76.468,BS2,s
2014-05,221.095,BS2,s
2014-08,15.68,BS2,s
2014-11,310.64,BS2,s
1997-02,777.14,BS2,b
1997-05,28,BS2,b
1997-08,62,BS2,b
1997-11,74,BS2,b
1998-02,131,BS2,b
1998-05,74,BS2,b
1998-08,31,BS2,b
1998-11,51,BS2,b
1999-02,800,BS2,b
1999-05,28,BS2,b
1999-08,141,BS2,b
1999-11,2,BS2,b
2000-02,70,BS2,b
2000-05,41.244,BS2,b
2000-08,84.672,BS2,b
2000-11,34.509,BS2,b
2001-02,86.022,BS2,b
2001-05,112,BS2,b
2001-08,181,BS2,b
2001-11,53,BS2,b
2002-02,79,BS2,b
2002-05,109.566,BS2,b
2002-08,29.458,BS2,b
2002-11,45.29,BS2,b
2003-02,183.029,BS2,b
2003-05,132.875,BS2,b
2003-08,92.744,BS2,b
2003-11,56,BS2,b
2004-02,24.561,BS2,b
2004-05,1,BS2,b
2004-08,19,BS2,b
2004-11,44.047,BS2,b
2005-02,83.643,BS2,b
2005-05,21.412,BS2,b
2005-08,9,BS2,b
2005-11,29.975,BS2,b
2006-02,77.406,BS2,b
2006-05,16.905,BS2,b
2006-08,14.9,BS2,b
2006-11,29.21,BS2,b
2007-02,21.753,BS2,b
2007-05,29.706,BS2,b
2007-08,7.111,BS2,b
2007-11,15,BS2,b
2008-02,1,BS2,b
2008-05,24,BS2,b
2008-08,8,BS2,b
2008-11,5,BS2,b
2009-02,12.431,BS2,b
2009-05,12.982,BS2,b
2009-08,0.954,BS2,b
2009-11,8.288,BS2,b
2010-02,20.694,BS2,b
2010-05,18.197,BS2,b
2010-08,42.329,BS2,b
2010-11,19.218,BS2,b
2011-02,60,BS2,b
2011-05,24,BS2,b
2011-08,10,BS2,b
2011-11,40,BS2,b
2012-02,34.4,BS2,b
2012-05,7.2,BS2,b
2012-08,3.3,BS2,b
2012-11,12.4,BS2,b
2013-02,33.1,BS2,b
2013-05,8.3,BS2,b
2013-08,1.505,BS2,b
2013-11,15.589,BS2,b
2014-02,43.995,BS2,b
2014-05,19.46,BS2,b
2014-08,1.43,BS2,b
2014-11,52.07,BS2,b
1997-02,32.76,BS3,s
1997-05,55,BS3,s
1997-08,170,BS3,s
1997-11,60,BS3,s
1998-02,43,BS3,s
1998-05,21,BS3,s
1998-08,106,BS3,s
1998-11,64,BS3,s
1999-02,774,BS3,s
1999-05,42,BS3,s
1999-08,83,BS3,s
1999-11,2,BS3,s
2000-02,13,BS3,s
2000-05,322.672,BS3,s
2000-08,61.321,BS3,s
2000-11,32.85,BS3,s
2001-02,106,BS3,s
2001-05,782,BS3,s
2001-08,316,BS3,s
2001-11,63,BS3,s
2002-02,81,BS3,s
2002-05,205.807,BS3,s
2002-08,242.407,BS3,s
2002-11,38.929,BS3,s
2003-02,70.952,BS3,s
2003-05,112.502,BS3,s
2003-08,176.488,BS3,s
2003-11,92.4,BS3,s
2004-02,38.835,BS3,s
2004-05,1,BS3,s
2004-08,174,BS3,s
2004-11,78.193,BS3,s
2005-02,80.532,BS3,s
2005-05,102.341,BS3,s
2005-08,4,BS3,s
2005-11,43.134,BS3,s
2006-02,80.071,BS3,s
2006-05,23.963,BS3,s
2006-08,18.035,BS3,s
2006-11,37.229,BS3,s
2007-02,51.246,BS3,s
2007-05,305.891,BS3,s
2007-08,15.675,BS3,s
2007-11,25,BS3,s
2008-02,55,BS3,s
2008-05,319,BS3,s
2008-08,23,BS3,s
2008-11,17,BS3,s
2009-02,53.864,BS3,s
2009-05,18.146,BS3,s
2009-08,18.124,BS3,s
2009-11,18.794,BS3,s
2010-02,38.692,BS3,s
2010-05,16.2,BS3,s
2010-08,310.659,BS3,s
2010-11,20.135,BS3,s
2011-02,147,BS3,s
2011-05,72,BS3,s
2011-08,74,BS3,s
2011-11,55,BS3,s
2012-02,53.5,BS3,s
2012-05,30,BS3,s
2012-08,10.8,BS3,s
2012-11,14.7,BS3,s
2013-02,148.1,BS3,s
2013-05,0.9,BS3,s
2013-08,9.401,BS3,s
2013-11,22.841,BS3,s
2014-02,80.185,BS3,s
2014-05,113.113,BS3,s
2014-08,165.07,BS3,s
2014-11,42.69,BS3,s
1997-02,46.06,BS3,b
1997-05,65,BS3,b
1997-08,134,BS3,b
1997-11,38,BS3,b
1998-02,40,BS3,b
1998-05,47,BS3,b
1998-08,22,BS3,b
1998-11,63,BS3,b
1999-02,788,BS3,b
1999-05,51,BS3,b
1999-08,38,BS3,b
1999-11,0.21,BS3,b
2000-02,58,BS3,b
2000-05,110.432,BS3,b
2000-08,113.635,BS3,b
2000-11,54.796,BS3,b
2001-02,84.024,BS3,b
2001-05,74.929,BS3,b
2001-08,165,BS3,b
2001-11,59,BS3,b
2002-02,77,BS3,b
2002-05,104.371,BS3,b
2002-08,14.074,BS3,b
2002-11,32.569,BS3,b
2003-02,58.998,BS3,b
2003-05,112.707,BS3,b
2003-08,95.61,BS3,b
2003-11,38.92,BS3,b
2004-02,64.988,BS3,b
2004-05,3,BS3,b
2004-08,10,BS3,b
2004-11,46.289,BS3,b
2005-02,94.181,BS3,b
2005-05,31.741,BS3,b
2005-08,13,BS3,b
2005-11,37.811,BS3,b
2006-02,73.813,BS3,b
2006-05,26.957,BS3,b
2006-08,15.588,BS3,b
2006-11,32.309,BS3,b
2007-02,40.585,BS3,b
2007-05,59.085,BS3,b
2007-08,103.085,BS3,b
2007-11,30,BS3,b
2008-02,38,BS3,b
2008-05,68,BS3,b
2008-08,13,BS3,b
2008-11,7,BS3,b
2009-02,40.457,BS3,b
2009-05,7.818,BS3,b
2009-08,8.456,BS3,b
2009-11,17.618,BS3,b
2010-02,50.983,BS3,b
2010-05,14.785,BS3,b
2010-08,46.883,BS3,b
2010-11,16.742,BS3,b
2011-02,57,BS3,b
2011-05,42,BS3,b
2011-08,14,BS3,b
2011-11,39,BS3,b
2012-02,46.1,BS3,b
2012-05,6.8,BS3,b
2012-08,10,BS3,b
2012-11,16.8,BS3,b
2013-02,64.2,BS3,b
2013-05,1.1,BS3,b
2013-08,1.309,BS3,b
2013-11,19.131,BS3,b
2014-02,49.595,BS3,b
2014-05,23.59,BS3,b
2014-08,15.16,BS3,b
2014-11,34.87,BS3,b
1997-02,162.12,BS4,s
1997-05,47,BS4,s
1997-08,112,BS4,s
1997-11,178,BS4,s
1998-02,131,BS4,s
1998-05,156,BS4,s
1998-08,172,BS4,s
1998-11,170,BS4,s
1999-02,723,BS4,s
1999-05,59,BS4,s
1999-08,103,BS4,s
1999-11,5,BS4,s
2000-02,73,BS4,s
2000-05,77.042,BS4,s
2000-08,133.802,BS4,s
2000-11,16.62,BS4,s
2001-02,34.068,BS4,s
2001-05,101.918,BS4,s
2001-08,334,BS4,s
2001-11,47,BS4,s
2002-02,65,BS4,s
2002-05,92.905,BS4,s
2002-08,22.293,BS4,s
2002-11,44.851,BS4,s
2003-02,103.632,BS4,s
2003-05,61.11,BS4,s
2003-08,68.378,BS4,s
2003-11,73.64,BS4,s
2004-02,30.324,BS4,s
2004-05,4,BS4,s
2004-08,6,BS4,s
2004-11,129.083,BS4,s
2005-02,94.377,BS4,s
2005-05,103.236,BS4,s
2005-08,64,BS4,s
2005-11,82.874,BS4,s
2006-02,53.007,BS4,s
2006-05,159.082,BS4,s
2006-08,14.962,BS4,s
2006-11,72.308,BS4,s
2007-02,33.251,BS4,s
2007-05,60.086,BS4,s
2007-08,8.037,BS4,s
2007-11,43,BS4,s
2008-02,0,BS4,s
2008-05,39,BS4,s
2008-08,21,BS4,s
2008-11,17,BS4,s
2009-02,34.561,BS4,s
2009-05,31.731,BS4,s
2009-08,51.38,BS4,s
2009-11,10.558,BS4,s
2010-02,26.664,BS4,s
2010-05,28.185,BS4,s
2010-08,57.941,BS4,s
2010-11,34.532,BS4,s
2011-02,123,BS4,s
2011-05,68,BS4,s
2011-08,29,BS4,s
2011-11,49,BS4,s
2012-02,17,BS4,s
2012-05,2.7,BS4,s
2012-08,21.3,BS4,s
2012-11,35.6,BS4,s
2013-02,36.1,BS4,s
2013-05,0.9,BS4,s
2013-08,0.735,BS4,s
2013-11,45.612,BS4,s
2014-02,10.829,BS4,s
2014-05,8.694,BS4,s
2014-08,85.89,BS4,s
2014-11,43.95,BS4,s
1997-02,164.78,BS4,b
1997-05,127,BS4,b
1997-08,71,BS4,b
1997-11,102,BS4,b
1998-02,57,BS4,b
1998-05,70,BS4,b
1998-08,74,BS4,b
1998-11,95,BS4,b
1999-02,585,BS4,b
1999-05,38,BS4,b
1999-08,80,BS4,b
1999-11,3,BS4,b
2000-02,81,BS4,b
2000-05,139.93,BS4,b
2000-08,47.674,BS4,b
2000-11,33.956,BS4,b
2001-02,82.026,BS4,b
2001-05,48.992,BS4,b
2001-08,346,BS4,b
2001-11,32,BS4,b
2002-02,86,BS4,b
2002-05,68.725,BS4,b
2002-08,11.756,BS4,b
2002-11,33.117,BS4,b
2003-02,156.709,BS4,b
2003-05,61.212,BS4,b
2003-08,61.314,BS4,b
2003-11,31.64,BS4,b
2004-02,31.21,BS4,b
2004-05,9,BS4,b
2004-08,3,BS4,b
2004-11,112.339,BS4,b
2005-02,48.313,BS4,b
2005-05,71.211,BS4,b
2005-08,45,BS4,b
2005-11,72.16,BS4,b
2006-02,106.066,BS4,b
2006-05,54.566,BS4,b
2006-08,38.517,BS4,b
2006-11,60.165,BS4,b
2007-02,29.256,BS4,b
2007-05,38.073,BS4,b
2007-08,8.345,BS4,b
2007-11,45,BS4,b
2008-02,20,BS4,b
2008-05,32,BS4,b
2008-08,24,BS4,b
2008-11,13,BS4,b
2009-02,24.385,BS4,b
2009-05,10.084,BS4,b
2009-08,26.292,BS4,b
2009-11,12.239,BS4,b
2010-02,31.23,BS4,b
2010-05,10.04,BS4,b
2010-08,44.606,BS4,b
2010-11,22.794,BS4,b
2011-02,61,BS4,b
2011-05,32,BS4,b
2011-08,25,BS4,b
2011-11,30,BS4,b
2012-02,28.4,BS4,b
2012-05,5.6,BS4,b
2012-08,21.1,BS4,b
2012-11,16.2,BS4,b
2013-02,35.7,BS4,b
2013-05,1,BS4,b
2013-08,1.029,BS4,b
2013-11,27.195,BS4,b
2014-02,12.523,BS4,b
2014-05,7.28,BS4,b
2014-08,14.43,BS4,b
2014-11,44.28,BS4,b
1997-02,,BS5,s
1997-05,,BS5,s
1997-08,,BS5,s
1997-11,,BS5,s
1998-02,,BS5,s
1998-05,,BS5,s
1998-08,,BS5,s
1998-11,,BS5,s
1999-02,,BS5,s
1999-05,,BS5,s
1999-08,,BS5,s
1999-11,,BS5,s
2000-02,,BS5,s
2000-05,,BS5,s
2000-08,,BS5,s
2000-11,,BS5,s
2001-02,,BS5,s
2001-05,,BS5,s
2001-08,,BS5,s
2001-11,,BS5,s
2002-02,,BS5,s
2002-05,,BS5,s
2002-08,,BS5,s
2002-11,,BS5,s
2003-02,,BS5,s
2003-05,,BS5,s
2003-08,,BS5,s
2003-11,,BS5,s
2004-02,22.522,BS5,s
2004-05,2,BS5,s
2004-08,8,BS5,s
2004-11,25.458,BS5,s
2005-02,13.467,BS5,s
2005-05,12.311,BS5,s
2005-08,17,BS5,s
2005-11,21.681,BS5,s
2006-02,22.078,BS5,s
2006-05,19.306,BS5,s
2006-08,22.436,BS5,s
2006-11,19.243,BS5,s
2007-02,31.706,BS5,s
2007-05,23.543,BS5,s
2007-08,7.188,BS5,s
2007-11,12,BS5,s
2008-02,0,BS5,s
2008-05,25,BS5,s
2008-08,5,BS5,s
2008-11,4,BS5,s
2009-02,10.493,BS5,s
2009-05,81.106,BS5,s
2009-08,6.205,BS5,s
2009-11,11.23,BS5,s
2010-02,8.316,BS5,s
2010-05,6.212,BS5,s
2010-08,55.881,BS5,s
2010-11,16.834,BS5,s
2011-02,12,BS5,s
2011-05,38,BS5,s
2011-08,20,BS5,s
2011-11,30,BS5,s
2012-02,12.4,BS5,s
2012-05,6.7,BS5,s
2012-08,7.4,BS5,s
2012-11,13.3,BS5,s
2013-02,12.6,BS5,s
2013-05,1.1,BS5,s
2013-08,1.386,BS5,s
2013-11,4.095,BS5,s
2014-02,1.309,BS5,s
2014-05,2.17,BS5,s
2014-08,38.42,BS5,s
2014-11,1.61,BS5,s
1997-02,,BS5,b
1997-05,,BS5,b
1997-08,,BS5,b
1997-11,,BS5,b
1998-02,,BS5,b
1998-05,,BS5,b
1998-08,,BS5,b
1998-11,,BS5,b
1999-02,,BS5,b
1999-05,,BS5,b
1999-08,,BS5,b
1999-11,,BS5,b
2000-02,,BS5,b
2000-05,,BS5,b
2000-08,,BS5,b
2000-11,,BS5,b
2001-02,,BS5,b
2001-05,,BS5,b
2001-08,,BS5,b
2001-11,,BS5,b
2002-02,,BS5,b
2002-05,,BS5,b
2002-08,,BS5,b
2002-11,,BS5,b
2003-02,,BS5,b
2003-05,,BS5,b
2003-08,,BS5,b
2003-11,,BS5,b
2004-02,20.838,BS5,b
2004-05,3,BS5,b
2004-08,38,BS5,b
2004-11,44.311,BS5,b
2005-02,3.941,BS5,b
2005-05,20.13,BS5,b
2005-08,8,BS5,b
2005-11,18.628,BS5,b
2006-02,20.786,BS5,b
2006-05,22.325,BS5,b
2006-08,48.108,BS5,b
2006-11,22.24,BS5,b
2007-02,35.326,BS5,b
2007-05,29.735,BS5,b
2007-08,7.883,BS5,b
2007-11,11,BS5,b
2008-02,0,BS5,b
2008-05,32,BS5,b
2008-08,9,BS5,b
2008-11,19,BS5,b
2009-02,8.716,BS5,b
2009-05,17.888,BS5,b
2009-08,14.207,BS5,b
2009-11,78.635,BS5,b
2010-02,9.106,BS5,b
2010-05,7.96,BS5,b
2010-08,72.686,BS5,b
2010-11,14.816,BS5,b
2011-02,10,BS5,b
2011-05,52,BS5,b
2011-08,23,BS5,b
2011-11,17,BS5,b
2012-02,12.3,BS5,b
2012-05,10.2,BS5,b
2012-08,6.1,BS5,b
2012-11,2.1,BS5,b
2013-02,13,BS5,b
2013-05,0.4,BS5,b
2013-08,0.343,BS5,b
2013-11,4.935,BS5,b
2014-02,2.499,BS5,b
2014-05,9.758,BS5,b
2014-08,9.3,BS5,b
2014-11,1.97,BS5,b
1997-02,,BS6,s
1997-05,,BS6,s
1997-08,,BS6,s
1997-11,,BS6,s
1998-02,,BS6,s
1998-05,,BS6,s
1998-08,,BS6,s
1998-11,,BS6,s
1999-02,,BS6,s
1999-05,,BS6,s
1999-08,,BS6,s
1999-11,,BS6,s
2000-02,,BS6,s
2000-05,,BS6,s
2000-08,,BS6,s
2000-11,,BS6,s
2001-02,,BS6,s
2001-05,,BS6,s
2001-08,,BS6,s
2001-11,,BS6,s
2002-02,,BS6,s
2002-05,,BS6,s
2002-08,,BS6,s
2002-11,,BS6,s
2003-02,,BS6,s
2003-05,,BS6,s
2003-08,,BS6,s
2003-11,,BS6,s
2004-02,20.128,BS6,s
2004-05,3,BS6,s
2004-08,82,BS6,s
2004-11,29.15,BS6,s
2005-02,26.164,BS6,s
2005-05,28.595,BS6,s
2005-08,23,BS6,s
2005-11,19.791,BS6,s
2006-02,19.344,BS6,s
2006-05,20.866,BS6,s
2006-08,19.076,BS6,s
2006-11,29.697,BS6,s
2007-02,27,BS6,s
2007-05,48.389,BS6,s
2007-08,7.805,BS6,s
2007-11,15,BS6,s
2008-02,0,BS6,s
2008-05,37,BS6,s
2008-08,8,BS6,s
2008-11,4,BS6,s
2009-02,9.685,BS6,s
2009-05,27.184,BS6,s
2009-08,8.706,BS6,s
2009-11,21.652,BS6,s
2010-02,14.11,BS6,s
2010-05,7.96,BS6,s
2010-08,77.781,BS6,s
2010-11,4.729,BS6,s
2011-02,16,BS6,s
2011-05,64,BS6,s
2011-08,19,BS6,s
2011-11,52,BS6,s
2012-02,15,BS6,s
2012-05,5.8,BS6,s
2012-08,9.2,BS6,s
2012-11,13,BS6,s
2013-02,18.9,BS6,s
2013-05,1,BS6,s
2013-08,1.015,BS6,s
2013-11,4.221,BS6,s
2014-02,1.652,BS6,s
2014-05,1.799,BS6,s
2014-08,38.23,BS6,s
2014-11,2.66,BS6,s
1997-02,,BS6,b
1997-05,,BS6,b
1997-08,,BS6,b
1997-11,,BS6,b
1998-02,,BS6,b
1998-05,,BS6,b
1998-08,,BS6,b
1998-11,,BS6,b
1999-02,,BS6,b
1999-05,,BS6,b
1999-08,,BS6,b
1999-11,,BS6,b
2000-02,,BS6,b
2000-05,,BS6,b
2000-08,,BS6,b
2000-11,,BS6,b
2001-02,,BS6,b
2001-05,,BS6,b
2001-08,,BS6,b
2001-11,,BS6,b
2002-02,,BS6,b
2002-05,,BS6,b
2002-08,,BS6,b
2002-11,,BS6,b
2003-02,,BS6,b
2003-05,,BS6,b
2003-08,,BS6,b
2003-11,,BS6,b
