stn,region_name,sea,year,period,date,lat,lon,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG
S04A,보령 석대도,서해,2012,6,12-Jun,36.24399,126.51988,156,1,8,3,12,38,12,5,1,1,2,3,231,20,1,7,33,4,20,3,5,1,1,1.02,16,101.02,2.19,0,0.9,0.48,1.08,1.58,1.08,0.7,0,0,0.3,0.48,2.36,1.3,0,0.85,1.52,0.6,1.3,0.48,0.7,0,0,0.01,1.2,2
S04A,보령 석대도,서해,2013,1,13-Jan,36.24399,126.51988,47,2,15,1,4,26,3,5,1,2,3,1,99,9.5,1.02,3,1,1.3,2,1.3,2.2,1,1,1.3,1,14.62,1.67,0.3,1.18,0,0.6,1.41,0.48,0.7,0,0.3,0.48,0,2,0.98,0.01,0.48,0,0.11,0.3,0.11,0.34,0,0,0.11,0,1.16
S04A,보령 석대도,서해,2013,2,13-Feb,36.24399,126.51988,47,1,29,4,17,21,7,1,2,3,1,1,123,11.8,1,6.8,10.8,2.2,4.2,1.8,1,1.05,1.03,1,1,32.68,1.67,0,1.46,0.6,1.23,1.32,0.85,0,0.3,0.48,0,0,2.09,1.07,0,0.83,1.03,0.34,0.62,0.26,0,0.02,0.01,0,0,1.51
S04A,보령 석대도,서해,2013,3,13-Mar,36.24399,126.51988,26,1,20,5,3,9,1,2,1,1,1,2,61,17.5,1,8.5,31,1.2,3,1,1.02,1,1,1,3,59.22,1.41,0,1.3,0.7,0.48,0.95,0,0.3,0,0,0,0.3,1.79,1.24,0,0.93,1.49,0.08,0.48,0,0.01,0,0,0,0.48,1.77
S04A,보령 석대도,서해,2013,4,13-Apr,36.24399,126.51988,221,1,21,1,14,17,4,4,1,1,10,1,285,24,1,39,1,2,13,1.3,1.7,1,1,1.5,1,76.5,2.34,0,1.32,0,1.15,1.23,0.6,0.6,0,0,1,0,2.45,1.38,0,1.59,0,0.3,1.11,0.11,0.23,0,0,0.18,0,1.88
S04A,보령 석대도,서해,2013,5,13-May,36.24399,126.51988,120,1,8,3,3,6,2,1,2,6,1,2,144,91,1,14,46,1.1,1.5,1.1,1,1.01,1.01,1,5,153.72,2.08,0,0.9,0.48,0.48,0.78,0.3,0,0.3,0.78,0,0.3,2.16,1.96,0,1.15,1.66,0.04,0.18,0.04,0,0,0,0,0.7,2.19
S04A,보령 석대도,서해,2013,6,13-Jun,36.24399,126.51988,61,1,2,1,4,1,1,2,1,1,4,1,69,6.1,1,3.2,1,3.5,1,1,1.1,1,1,1.2,1,11.1,1.79,0,0.3,0,0.6,0,0,0.3,0,0,0.6,0,1.84,0.79,0,0.51,0,0.54,0,0,0.04,0,0,0.08,0,1.05
S04A,보령 석대도,서해,2014,1,14-Jan,36.24399,126.51988,9,1,31,4,1,1,1,2,1,1,1,1,43,21,1,154,76,1,1,1,6,1,1,1,1,254,0.95,0,1.49,0.6,0,0,0,0.3,0,0,0,0,1.63,1.32,0,2.19,1.88,0,0,0,0.78,0,0,0,0,2.4
S04A,보령 석대도,서해,2014,2,14-Feb,36.24399,126.51988,134,10,9,1,12,27,4,9,2,5,1,1,204,36,4,1,1,2.6,16,1.5,1.8,1.2,1.1,1,1,57.2,2.13,1,0.95,0,1.08,1.43,0.6,0.95,0.3,0.7,0,0,2.31,1.56,0.6,0,0,0.41,1.2,0.18,0.26,0.08,0.04,0,0,1.76
S04A,보령 석대도,서해,2014,3,14-Mar,36.24399,126.51988,97,19,23,2,9,14,6,4,1,1,1,2,168,25.4,1.06,19,1.3,1.2,2.2,1.04,2,1,1,1,13,58.2,1.99,1.28,1.36,0.3,0.95,1.15,0.78,0.6,0,0,0,0.3,2.23,1.4,0.03,1.28,0.11,0.08,0.34,0.02,0.3,0,0,0,1.11,1.76
S04A,보령 석대도,서해,2014,4,14-Apr,36.24399,126.51988,75,1,22,2,6,1,3,3,2,1,8,1,114,10.8,1,199,20.6,1.6,1,1.4,1.8,1.02,1,1.4,1,230.62,1.88,0,1.34,0.3,0.78,0,0.48,0.48,0.3,0,0.9,0,2.06,1.03,0,2.3,1.31,0.2,0,0.15,0.26,0.01,0,0.15,0,2.36
S04A,보령 석대도,서해,2014,5,14-May,36.24399,126.51988,99,4,1,1,6,2,1,1,1,1,1,1,108,11.5,1.3,1,1,1.5,2,1,1,1,1,1,1,13.3,2,0.6,0,0,0.78,0.3,0,0,0,0,0,0,2.03,1.06,0.11,0,0,0.18,0.3,0,0,0,0,0,0,1.12
S04A,보령 석대도,서해,2014,6,14-Jun,36.24399,126.51988,128,1,28,1,12,11,4,4,1,2,1,2,184,21,1,14.7,1,2,2.1,1.4,2.5,1,1.1,1,2,39.8,2.11,0,1.45,0,1.08,1.04,0.6,0.6,0,0.3,0,0.3,2.26,1.32,0,1.17,0,0.3,0.32,0.15,0.4,0,0.04,0,0.3,1.6
S04A,보령 석대도,서해,2015,1,15-Jan,36.24399,126.51988,48,3,11,1,4,3,1,1,1,1,1,1,65,5.7,1.05,12.2,1,1.9,3.1,1,1,1,1,1,1,19.95,1.68,0.48,1.04,0,0.6,0.48,0,0,0,0,0,0,1.81,0.76,0.02,1.09,0,0.28,0.49,0,0,0,0,0,0,1.3
S04A,보령 석대도,서해,2015,2,15-Feb,36.24399,126.51988,77,10,211,1,22,26,5,3,1,1,1,1,348,9,1.4,22,1,2.5,1.5,1.3,1.2,1,1,1,1,32.9,1.89,1,2.32,0,1.34,1.41,0.7,0.48,0,0,0,0,2.54,0.95,0.15,1.34,0,0.4,0.18,0.11,0.08,0,0,0,0,1.52
S04A,보령 석대도,서해,2015,3,15-Mar,36.24399,126.51988,34,10,4,1,5,2,3,4,1,1,1,1,56,4.8,1.5,2.8,1,1.8,1.9,1.4,2.1,1,1,1,1,10.3,1.53,1,0.6,0,0.7,0.3,0.48,0.6,0,0,0,0,1.75,0.68,0.18,0.45,0,0.26,0.28,0.15,0.32,0,0,0,0,1.01
S04A,보령 석대도,서해,2015,4,15-Apr,36.24399,126.51988,35,2,1,1,7,36,2,2,1,1,1,1,79,9.5,1.9,1,1,1.33,4.4,1.6,4.8,1,1,1,1,18.53,1.54,0.3,0,0,0.85,1.56,0.3,0.3,0,0,0,0,1.9,0.98,0.28,0,0,0.12,0.64,0.2,0.68,0,0,0,0,1.27
S04A,보령 석대도,서해,2015,5,15-May,36.24399,126.51988,44,1,5,1,11,42,1,3,1,1,1,3,103,2.9,1,3.8,1,1,27,1,1.5,1,1,1,16.8,48,1.64,0,0.7,0,1.04,1.62,0,0.48,0,0,0,0.48,2.01,0.46,0,0.58,0,0,1.43,0,0.18,0,0,0,1.23,1.68
S04A,보령 석대도,서해,2015,6,15-Jun,36.24399,126.51988,99,1,36,1,14,19,2,1,1,2,1,1,167,18,1,21.4,1,3,2,1.02,1,1,1.01,1,1,41.43,2,0,1.56,0,1.15,1.28,0.3,0,0,0.3,0,0,2.22,1.26,0,1.33,0,0.48,0.3,0.01,0,0,0,0,0,1.62
S04A,보령 석대도,서해,2016,1,16-Jan,36.24399,126.51988,43,1,17,3,3,1,1,1,1,1,3,1,65,24,1,24,4,5,1,1,1,1,1,1.05,1,54.05,1.63,0,1.23,0.48,0.48,0,0,0,0,0,0.48,0,1.81,1.38,0,1.38,0.6,0.7,0,0,0,0,0,0.02,0,1.73
S04A,보령 석대도,서해,2016,2,16-Feb,36.24399,126.51988,74,1,5,1,3,2,1,1,1,1,2,1,82,18,1,7.8,1,3.5,1.8,1,1,1,1,1.2,1,28.3,1.87,0,0.7,0,0.48,0.3,0,0,0,0,0.3,0,1.91,1.26,0,0.89,0,0.54,0.26,0,0,0,0,0.08,0,1.45
S04A,보령 석대도,서해,2016,3,16-Mar,36.24399,126.51988,20,3,4,8,5,2,1,2,1,1,1,1,38,3.3,1.05,2.2,2.5,1.8,1.7,1,1.2,1,1,1,1,7.75,1.3,0.48,0.6,0.9,0.7,0.3,0,0.3,0,0,0,0,1.58,0.52,0.02,0.34,0.4,0.26,0.23,0,0.08,0,0,0,0,0.89
S04A,보령 석대도,서해,2016,4,16-Apr,36.24399,126.51988,16,1,12,1,1,2,1,3,1,1,2,1,31,12,1,24,1,1,1.5,1,2,1,1,1.5,1,37,1.2,0,1.08,0,0,0.3,0,0.48,0,0,0.3,0,1.49,1.08,0,1.38,0,0,0.18,0,0.3,0,0,0.18,0,1.57
S04A,보령 석대도,서해,2016,5,16-May,36.24399,126.51988,34,1,13,1,4,1,1,1,1,1,1,1,49,12,1,17,1,2,1,1,1,1,1,1,1,29,1.53,0,1.11,0,0.6,0,0,0,0,0,0,0,1.69,1.08,0,1.23,0,0.3,0,0,0,0,0,0,0,1.46
S04A,보령 석대도,서해,2016,6,16-Jun,36.24399,126.51988,52,1,9,2,5,2,1,1,1,1,4,1,69,8,1,17,5,1.5,2,1,1,1,1,1.5,1,30,1.72,0,0.95,0.3,0.7,0.3,0,0,0,0,0.6,0,1.84,0.9,0,1.23,0.7,0.18,0.3,0,0,0,0,0.18,0,1.48
S04A,보령 석대도,서해,2017,1,17-Jan,36.24399,126.51988,37,1,17,7,4,1,1,1,1,1,1,1,62,11,1,4,9,2,1,1,1,1,1,1,1,23,1.57,0,1.23,0.85,0.6,0,0,0,0,0,0,0,1.79,1.04,0,0.6,0.95,0.3,0,0,0,0,0,0,0,1.36
S04A,보령 석대도,서해,2017,2,17-Feb,36.24399,126.51988,18,1,5,3,4,3,1,3,1,1,1,1,31,6,1,3,5,2,2,1,2,1,1,1,1,15,1.26,0,0.7,0.48,0.6,0.48,0,0.48,0,0,0,0,1.49,0.78,0,0.48,0.7,0.3,0.3,0,0.3,0,0,0,0,1.18
S04A,보령 석대도,서해,2017,3,17-Mar,36.24399,126.51988,28,1,5,1,2,1,1,1,1,1,8,1,40,12,1,2.5,1,2,1,1,1,1,1,1.9,1,15.4,1.45,0,0.7,0,0.3,0,0,0,0,0,0.9,0,1.6,1.08,0,0.4,0,0.3,0,0,0,0,0,0.28,0,1.19
S04A,보령 석대도,서해,2017,4,17-Apr,36.24399,126.51988,22,1,3,4,1,4,1,1,1,1,2,1,31,16,1,21,14,1,6,1,1,1,1,1.5,1,54.5,1.34,0,0.48,0.6,0,0.6,0,0,0,0,0.3,0,1.49,1.2,0,1.32,1.15,0,0.78,0,0,0,0,0.18,0,1.74
S04A,보령 석대도,서해,2017,5,17-May,36.24399,126.51988,37,1,6,2,4,4,1,1,1,1,1,1,49,25,1,4,3,2,4,1,1,1,1,1,1,34,1.57,0,0.78,0.3,0.6,0.6,0,0,0,0,0,0,1.69,1.4,0,0.6,0.48,0.3,0.6,0,0,0,0,0,0,1.53
S04A,보령 석대도,서해,2017,6,17-Jun,36.24399,126.51988,41,2,4,2,4,1,2,1,1,1,1,1,50,27,1.5,2,12,2,1,2,1,1,1,1,1,41.5,1.61,0.3,0.6,0.3,0.6,0,0.3,0,0,0,0,0,1.7,1.43,0.18,0.3,1.08,0.3,0,0.3,0,0,0,0,0,1.62
S05A,부안 변산,서해,2008,2,08-Feb,35.68772,126.53275,239,18,44,28,11,18,9,5,4,9,2,13,389,55.2,2,21,51,6,2.5,2,1.5,1.1,1.1,1.1,1.4,134.9,2.38,1.26,1.64,1.45,1.04,1.26,0.95,0.7,0.6,0.95,0.3,1.11,2.59,1.74,0.3,1.32,1.71,0.78,0.4,0.3,0.18,0.04,0.04,0.04,0.15,2.13
S05A,부안 변산,서해,2008,3,08-Mar,35.68772,126.53275,101,2,22,4,7,4,7,3,3,9,2,4,157,64.2,1.004,2.5,16,3.2,1.2,2,1.1,1.02,1.1,1.01,1.7,85.034,2,0.3,1.34,0.6,0.85,0.6,0.85,0.48,0.48,0.95,0.3,0.6,2.2,1.81,0,0.4,1.2,0.51,0.08,0.3,0.04,0.01,0.04,0,0.23,1.93
S05A,부안 변산,서해,2008,4,08-Apr,35.68772,126.53275,59,4,18,16,9,9,21,1,2,15,1,2,146,4.15,1.1,2,33,1.3,1.8,1.3,1,1.05,1.4,1,1.1,39.2,1.77,0.6,1.26,1.2,0.95,0.95,1.32,0,0.3,1.18,0,0.3,2.16,0.62,0.04,0.3,1.52,0.11,0.26,0.11,0,0.02,0.15,0,0.04,1.59
S05A,부안 변산,서해,2008,5,08-May,35.68772,126.53275,142,8,11,5,22,40,10,2,1,13,1,1,245,17.8,1.7,6,6,4.3,3.1,1.42,1.1,1,1.2,1,1,34.62,2.15,0.9,1.04,0.7,1.34,1.6,1,0.3,0,1.11,0,0,2.39,1.25,0.23,0.78,0.78,0.63,0.49,0.15,0.04,0,0.08,0,0,1.54
S05A,부안 변산,서해,2008,6,08-Jun,35.68772,126.53275,346,10,60,9,25,33,16,4,1,14,1,2,510,88.34,1.4,407.14,54,2.8,12,1.4,1.2,1,1.1,1,3,563.38,2.54,1,1.78,0.95,1.4,1.52,1.2,0.6,0,1.15,0,0.3,2.71,1.95,0.15,2.61,1.73,0.45,1.08,0.15,0.08,0,0.04,0,0.48,2.75
S05A,부안 변산,서해,2009,1,09-Jan,35.68772,126.53275,628,8,93,27,13,32,26,22,1,15,1,1,856,98.7,1.4,35,30,1.3,9,3.7,3.6,1,1.3,1,1,176,2.8,0.9,1.97,1.43,1.11,1.51,1.41,1.34,0,1.18,0,0,2.93,1.99,0.15,1.54,1.48,0.11,0.95,0.57,0.56,0,0.11,0,0,2.25
S05A,부안 변산,서해,2009,2,09-Feb,35.68772,126.53275,613,14,89,22,9,26,17,6,3,11,1,2,802,140.9,1.3,23,20,4,11,1.3,9,1,1,1,41,243.5,2.79,1.15,1.95,1.34,0.95,1.41,1.23,0.78,0.48,1.04,0,0.3,2.9,2.15,0.11,1.36,1.3,0.6,1.04,0.11,0.95,0,0,0,1.61,2.39
S05A,부안 변산,서해,2009,3,09-Mar,35.68772,126.53275,380,11,37,24,6,11,20,1,4,18,1,2,504,19.6,1.2,9.1,31,1.5,2.4,3,1,1.2,1.2,1,1,62.2,2.58,1.04,1.57,1.38,0.78,1.04,1.3,0,0.6,1.26,0,0.3,2.7,1.29,0.08,0.96,1.49,0.18,0.38,0.48,0,0.08,0.08,0,0,1.79
S05A,부안 변산,서해,2009,4,09-Apr,35.68772,126.53275,106,7,15,7,24,18,23,4,1,6,1,1,202,24.2,1.1,7.9,18.4,5.4,11.8,3.6,1.4,1,1.3,1,1,67.1,2.03,0.85,1.18,0.85,1.38,1.26,1.36,0.6,0,0.78,0,0,2.31,1.38,0.04,0.9,1.26,0.73,1.07,0.56,0.15,0,0.11,0,0,1.83
S05A,부안 변산,서해,2009,5,09-May,35.68772,126.53275,56,3,8,3,4,13,3,4,1,12,1,1,98,8,1.2,3.1,1.5,1.3,2.3,1.4,16,1,1.3,1,1,28.1,1.75,0.48,0.9,0.48,0.6,1.11,0.48,0.6,0,1.08,0,0,1.99,0.9,0.08,0.49,0.18,0.11,0.36,0.15,1.2,0,0.11,0,0,1.45
S05A,부안 변산,서해,2009,6,09-Jun,35.68772,126.53275,434,1,175,40,18,17,19,3,6,272,1,1,976,361.5,1,33,161,3.4,4.2,3.4,2,1.1,27.3,1,1,588.9,2.64,0,2.24,1.6,1.26,1.23,1.28,0.48,0.78,2.43,0,0,2.99,2.56,0,1.52,2.21,0.53,0.62,0.53,0.3,0.04,1.44,0,0,2.77
S05A,부안 변산,서해,2010,1,10-Jan,35.68772,126.53275,452,5,112,1,17,9,13,1,7,16,1,1,624,39.5,1.2,101.2,1,3.2,7.7,1.2,1,1.06,2.2,1,1,150.26,2.66,0.7,2.05,0,1.23,0.95,1.11,0,0.85,1.2,0,0,2.8,1.6,0.08,2.01,0,0.51,0.89,0.08,0,0.03,0.34,0,0,2.18
S05A,부안 변산,서해,2010,2,10-Feb,35.68772,126.53275,171,1,1,42,3,4,5,1,8,8,1,1,235,17,1,1,21,1.2,1.2,1.4,1,1.8,1.3,1,1,38.9,2.23,0,0,1.62,0.48,0.6,0.7,0,0.9,0.9,0,0,2.37,1.23,0,0,1.32,0.08,0.08,0.15,0,0.26,0.11,0,0,1.59
S05A,부안 변산,서해,2010,3,10-Mar,35.68772,126.53275,329,5,42,12,4,3,16,4,1,11,1,1,418,33.6,1.1,24.1,16,1.2,1.1,4,1.2,1,1.1,1,1,75.4,2.52,0.7,1.62,1.08,0.6,0.48,1.2,0.6,0,1.04,0,0,2.62,1.53,0.04,1.38,1.2,0.08,0.04,0.6,0.08,0,0.04,0,0,1.88
S05A,부안 변산,서해,2010,4,10-Apr,35.68772,126.53275,81,2,36,6,5,10,68,3,1,16,1,2,220,18.11,1,2.2,3,6,2,1.74,1.13,1,1.2,1,1,28.38,1.91,0.3,1.56,0.78,0.7,1,1.83,0.48,0,1.2,0,0.3,2.34,1.26,0,0.34,0.48,0.78,0.3,0.24,0.05,0,0.08,0,0,1.45
S05A,부안 변산,서해,2010,5,10-May,35.68772,126.53275,169,11,55,24,21,20,12,4,1,16,1,1,324,30.5,1.2,2.4,11.3,7.2,3.2,2.2,2,1,1.7,1,1,53.7,2.23,1.04,1.74,1.38,1.32,1.3,1.08,0.6,0,1.2,0,0,2.51,1.48,0.08,0.38,1.05,0.86,0.51,0.34,0.3,0,0.23,0,0,1.73
S05A,부안 변산,서해,2010,6,10-Jun,35.68772,126.53275,288,13,122,13,1,1,33,2,1,14,1,1,479,75.7,1.4,8.8,6,1,1,1.6,1,1,1.23,1,1,89.73,2.46,1.11,2.09,1.11,0,0,1.52,0.3,0,1.15,0,0,2.68,1.88,0.15,0.94,0.78,0,0,0.2,0,0,0.09,0,0,1.95
S05A,부안 변산,서해,2011,1,11-Jan,35.68772,126.53275,826,1,105,66,7,1,24,11,3,23,211,1,1268,50.3,1,45.3,36,4.2,1,5,27.5,1,1.2,368.1,1,530.6,2.92,0,2.02,1.82,0.85,0,1.38,1.04,0.48,1.36,2.32,0,3.1,1.7,0,1.66,1.56,0.62,0,0.7,1.44,0,0.08,2.57,0,2.72
S05A,부안 변산,서해,2011,2,11-Feb,35.68772,126.53275,431,10,497,42,1,5,15,3,2,14,32,4,1045,100.5,1.3,43.5,86,1,1.5,3,1.2,1,1.3,49.5,1,279.8,2.63,1,2.7,1.62,0,0.7,1.18,0.48,0.3,1.15,1.51,0.6,3.02,2,0.11,1.64,1.93,0,0.18,0.48,0.08,0,0.11,1.69,0,2.45
S05A,부안 변산,서해,2011,3,11-Mar,35.68772,126.53275,168,10,32,20,5,15,19,2,1,12,42,1,316,12,1.4,2,19,2.6,31.7,11.7,1.2,1,1.7,75.4,1,149.7,2.23,1,1.51,1.3,0.7,1.18,1.28,0.3,0,1.08,1.62,0,2.5,1.08,0.15,0.3,1.28,0.41,1.5,1.07,0.08,0,0.23,1.88,0,2.18
S05A,부안 변산,서해,2011,4,11-Apr,35.68772,126.53275,87,1,2,1,2,19,23,2,1,1,1,1,130,9.2,1,6,1,2.2,2.8,3,1.4,1,1,1,1,19.6,1.94,0,0.3,0,0.3,1.28,1.36,0.3,0,0,0,0,2.11,0.96,0,0.78,0,0.34,0.45,0.48,0.15,0,0,0,0,1.29
S05A,부안 변산,서해,2011,5,11-May,35.68772,126.53275,73,1,6,8,4,23,4,1,1,1,2,1,114,12.7,1,13,4.2,1.3,6.4,1.3,1,1,1,2.6,1,35.5,1.86,0,0.78,0.9,0.6,1.36,0.6,0,0,0,0.3,0,2.06,1.1,0,1.11,0.62,0.11,0.81,0.11,0,0,0,0.41,0,1.55
S05A,부안 변산,서해,2011,6,11-Jun,35.68772,126.53275,105,1,32,7,2,1,3,2,1,3,1,1,148,26.9,1,44.7,6.8,1.2,1,1.4,5.8,1,1.02,1,1,81.82,2.02,0,1.51,0.85,0.3,0,0.48,0.3,0,0.48,0,0,2.17,1.43,0,1.65,0.83,0.08,0,0.15,0.76,0,0.01,0,0,1.91
S05A,부안 변산,서해,2012,1,12-Jan,35.68772,126.53275,136,5,36,18,7,8,44,3,1,8,1,3,259,20.2,1.4,303.8,6.5,2.4,2,18.8,1.4,1,1.3,1,4.8,353.6,2.13,0.7,1.56,1.26,0.85,0.9,1.64,0.48,0,0.9,0,0.48,2.41,1.31,0.15,2.48,0.81,0.38,0.3,1.27,0.15,0,0.11,0,0.68,2.55
S05A,부안 변산,서해,2012,2,12-Feb,35.68772,126.53275,264,11,110,13,15,27,7,5,4,6,3,1,455,304,201,5.3,41,901,246,4,1,1,101,1.1,1,1796.4,2.42,1.04,2.04,1.11,1.18,1.43,0.85,0.7,0.6,0.78,0.48,0,2.66,2.48,2.3,0.72,1.61,2.95,2.39,0.6,0,0,2,0.04,0,3.25
S05A,부안 변산,서해,2012,3,12-Mar,35.68772,126.53275,57,1,63,1,4,1,1,1,1,17,1,2,139,4.6,1,21,1,4,1,1,1,1,2,1,1.1,28.7,1.76,0,1.8,0,0.6,0,0,0,0,1.23,0,0.3,2.14,0.66,0,1.32,0,0.6,0,0,0,0,0.3,0,0.04,1.46
S05A,부안 변산,서해,2012,4,12-Apr,35.68772,126.53275,57,2,8,1,5,4,21,4,1,21,1,1,115,63,1,1.1,1,1.1,1,1.1,3.5,1,1.1,1,1,65.9,1.76,0.3,0.9,0,0.7,0.6,1.32,0.6,0,1.32,0,0,2.06,1.8,0,0.04,0,0.04,0,0.04,0.54,0,0.04,0,0,1.82
S05A,부안 변산,서해,2012,5,12-May,35.68772,126.53275,445,3,50,2,31,43,33,4,1,32,1,4,638,10.5,1,3,7,5,4,2,5,1,1,1,1,30.5,2.65,0.48,1.7,0.3,1.49,1.63,1.52,0.6,0,1.51,0,0.6,2.8,1.02,0,0.48,0.85,0.7,0.6,0.3,0.7,0,0,0,0,1.48
S05A,부안 변산,서해,2012,6,12-Jun,35.68772,126.53275,222,2,35,3,4,10,4,2,6,16,53,1,347,17,1,48,1,1,3,1,1,1,1,22,1,87,2.35,0.3,1.54,0.48,0.6,1,0.6,0.3,0.78,1.2,1.72,0,2.54,1.23,0,1.68,0,0,0.48,0,0,0,0,1.34,0,1.94
S05A,부안 변산,서해,2013,1,13-Jan,35.68772,126.53275,190,4,62,10,16,22,104,4,2,15,40,1,459,39,1.5,51,16,9.5,3.5,4,1,1,1,7.5,1,125,2.28,0.6,1.79,1,1.2,1.34,2.02,0.6,0.3,1.18,1.6,0,2.66,1.59,0.18,1.71,1.2,0.98,0.54,0.6,0,0,0,0.88,0,2.1
S05A,부안 변산,서해,2013,2,13-Feb,35.68772,126.53275,74,3,67,16,5,16,64,1,1,4,1,1,242,11,1,31,16,2.5,21,3,1,1,1,1,1,79.5,1.87,0.48,1.83,1.2,0.7,1.2,1.81,0,0,0.6,0,0,2.38,1.04,0,1.49,1.2,0.4,1.32,0.48,0,0,0,0,0,1.9
S05A,부안 변산,서해,2013,3,13-Mar,35.68772,126.53275,11,2,5,3,1,1,1,1,1,1,3,1,20,2,1,31,2,1,1,1,1,1,1,1,1,33,1.04,0.3,0.7,0.48,0,0,0,0,0,0,0.48,0,1.3,0.3,0,1.49,0.3,0,0,0,0,0,0,0,0,1.52
S05A,부안 변산,서해,2013,4,13-Apr,35.68772,126.53275,40,1,2,9,7,8,11,1,1,3,1,3,76,8,1,2,1.5,2,2,1,1,1,1,1,1,11.5,1.6,0,0.3,0.95,0.85,0.9,1.04,0,0,0.48,0,0.48,1.88,0.9,0,0.3,0.18,0.3,0.3,0,0,0,0,0,0,1.06
S05A,부안 변산,서해,2013,5,13-May,35.68772,126.53275,119,8,12,9,12,44,12,3,1,4,1,1,215,12,201,801,2,2,7,2,301,1,1,1,1,1321,2.08,0.9,1.08,0.95,1.08,1.64,1.08,0.48,0,0.6,0,0,2.33,1.08,2.3,2.9,0.3,0.3,0.85,0.3,2.48,0,0,0,0,3.12
S05A,부안 변산,서해,2013,6,13-Jun,35.68772,126.53275,406,4,55,19,27,24,18,4,2,9,39,4,600,6,1,3,101,3,5,2,21,1,1,2,1,136,2.61,0.6,1.74,1.28,1.43,1.38,1.26,0.6,0.3,0.95,1.59,0.6,2.78,0.78,0,0.48,2,0.48,0.7,0.3,1.32,0,0,0.3,0,2.13
S05A,부안 변산,서해,2014,1,14-Jan,35.68772,126.53275,560,13,33,20,8,18,2,7,1,1,182,1,835,101,2,101,61,2,5,1,11,1,1,36.5,1,312.5,2.75,1.11,1.52,1.3,0.9,1.26,0.3,0.85,0,0,2.26,0,2.92,2,0.3,2,1.79,0.3,0.7,0,1.04,0,0,1.56,0,2.49
S05A,부안 변산,서해,2014,2,14-Feb,35.68772,126.53275,198,10,61,30,5,23,16,2,1,12,21,4,372,8.37,1,4.03,6.62,2.9,3.3,4,1,1,1,2,2,26.22,2.3,1,1.79,1.48,0.7,1.36,1.2,0.3,0,1.08,1.32,0.6,2.57,0.92,0,0.61,0.82,0.46,0.52,0.6,0,0,0,0.3,0.3,1.42
S05A,부안 변산,서해,2014,3,14-Mar,35.68772,126.53275,161,20,88,1,7,22,3,4,3,5,10,1,314,8,1,7.5,1,2,3,1.2,1,1,1,1,1,17.7,2.21,1.3,1.94,0,0.85,1.34,0.48,0.6,0.48,0.7,1,0,2.5,0.9,0,0.88,0,0.3,0.48,0.08,0,0,0,0,0,1.25
S05A,부안 변산,서해,2014,4,14-Apr,35.68772,126.53275,170,10,32,12,59,37,30,6,1,7,21,2,376,8.8,1,17,7,3.25,15,9,9,1,1,1.5,26,88.55,2.23,1,1.51,1.08,1.77,1.57,1.48,0.78,0,0.85,1.32,0.3,2.58,0.94,0,1.23,0.85,0.51,1.18,0.95,0.95,0,0,0.18,1.41,1.95
S05A,부안 변산,서해,2014,5,14-May,35.68772,126.53275,110,9,39,1,56,23,1,4,1,1,9,1,244,5.15,1,7,1,1.5,1,1,1,1,1,1,1,11.65,2.04,0.95,1.59,0,1.75,1.36,0,0.6,0,0,0.95,0,2.39,0.71,0,0.85,0,0.18,0,0,0,0,0,0,0,1.07
S05A,부안 변산,서해,2014,6,14-Jun,35.68772,126.53275,91,1,33,4,11,8,4,1,1,1,3,1,148,12,1,41,6,2,5,2,1,1,1,1,1,63,1.96,0,1.52,0.6,1.04,0.9,0.6,0,0,0,0.48,0,2.17,1.08,0,1.61,0.78,0.3,0.7,0.3,0,0,0,0,0,1.8
S05A,부안 변산,서해,2015,1,15-Jan,35.68772,126.53275,129,5,78,16,45,27,35,1,1,4,12,3,345,4,1,101,28,3,2.2,3,1,1,1,1,1,136.2,2.11,0.7,1.89,1.2,1.65,1.43,1.54,0,0,0.6,1.08,0.48,2.54,0.6,0,2,1.45,0.48,0.34,0.48,0,0,0,0,0,2.13
S05A,부안 변산,서해,2015,2,15-Feb,35.68772,126.53275,216,6,33,10,9,11,9,1,1,4,12,3,304,101.7,1,36,4,1,1,1,1,1,1,1,1,139.7,2.33,0.78,1.52,1,0.95,1.04,0.95,0,0,0.6,1.08,0.48,2.48,2.01,0,1.56,0.6,0,0,0,0,0,0,0,0,2.15
