stn,region_name,sea,year,period,date,lat,lon,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG
S01A,강화 여차리갯벌,서해,2010,3,10-Mar,37.61164,126.37594,830,9,131,15,14,21,57,6,1,11,1,8,1093,18.1,2.4,6,20.4,2.3,11.5,4.3,1.9,1,1.2,1,4.8,63.9,2.92,0.95,2.12,1.18,1.15,1.32,1.76,0.78,0,1.04,0,0.9,3.04,1.26,0.38,0.78,1.31,0.36,1.06,0.63,0.28,0,0.08,0,0.68,1.81
S01A,강화 여차리갯벌,서해,2010,4,10-Apr,37.61164,126.37594,399,132,1,7,8,8,10,2,2,4,1,1,564,18.061,4.2,1,11.6,1.37,4.04,2.2,8.5,1.36,1.14,1,1,44.471,2.6,2.12,0,0.85,0.9,0.9,1,0.3,0.3,0.6,0,0,2.75,1.26,0.62,0,1.06,0.14,0.61,0.34,0.93,0.13,0.06,0,0,1.65
S01A,강화 여차리갯벌,서해,2010,5,10-May,37.61164,126.37594,406,140,11,9,11,12,12,3,3,6,1,2,605,19.561,4.05,2,12,1.5,2.45,2.75,15,1.3,1.27,1,4,55.881,2.61,2.15,1.04,0.95,1.04,1.08,1.08,0.48,0.48,0.78,0,0.3,2.78,1.29,0.61,0.3,1.08,0.18,0.39,0.44,1.18,0.11,0.1,0,0.6,1.75
S01A,강화 여차리갯벌,서해,2010,6,10-Jun,37.61164,126.37594,548,6,63,5,9,11,8,2,1,4,1,2,649,8.5,1.25,2.3,2.94,1.88,2.19,2.8,1.06,1,1.01,1,2,16.93,2.74,0.78,1.8,0.7,0.95,1.04,0.9,0.3,0,0.6,0,0.3,2.81,0.93,0.1,0.36,0.47,0.27,0.34,0.45,0.03,0,0,0,0.3,1.23
S01A,강화 여차리갯벌,서해,2011,1,11-Jan,37.61164,126.37594,7,1,1,1,1,1,1,1,1,1,1,1,7,5.4,1,1,1,1,1,1,1,1,1,1,1,5.4,0.85,0,0,0,0,0,0,0,0,0,0,0,0.85,0.73,0,0,0,0,0,0,0,0,0,0,0,0.73
S01A,강화 여차리갯벌,서해,2011,2,11-Feb,37.61164,126.37594,413,3,52,17,4,11,9,5,1,3,2,1,510,3,1.1,6,16,1.1,1.5,3,2,1,1.1,1.1,1,26.9,2.62,0.48,1.72,1.23,0.6,1.04,0.95,0.7,0,0.48,0.3,0,2.71,0.48,0.04,0.78,1.2,0.04,0.18,0.48,0.3,0,0.04,0.04,0,1.43
S01A,강화 여차리갯벌,서해,2011,3,11-Mar,37.61164,126.37594,233,5,19,4,6,14,10,1,1,2,1,1,286,13.56,1,6,3.6,1.3,1.9,2,1,1,1,1,1,23.36,2.37,0.7,1.28,0.6,0.78,1.15,1,0,0,0.3,0,0,2.46,1.13,0,0.78,0.56,0.11,0.28,0.3,0,0,0,0,0,1.37
S01A,강화 여차리갯벌,서해,2011,4,11-Apr,37.61164,126.37594,159,1,71,3,7,7,24,4,1,4,1,1,272,5.48,1,7,5.9,1.81,1.9,2.5,1.72,1,1.06,1,1,20.37,2.2,0,1.85,0.48,0.85,0.85,1.38,0.6,0,0.6,0,0,2.43,0.74,0,0.85,0.77,0.26,0.28,0.4,0.24,0,0.03,0,0,1.31
S01A,강화 여차리갯벌,서해,2011,5,11-May,37.61164,126.37594,92,1,29,4,4,3,8,1,1,4,2,1,139,5.5,1,3,1,1,1,2,1,1,1,1,1,8.5,1.96,0,1.46,0.6,0.6,0.48,0.9,0,0,0.6,0.3,0,2.14,0.74,0,0.48,0,0,0,0.3,0,0,0,0,0,0.93
S01A,강화 여차리갯벌,서해,2011,6,11-Jun,37.61164,126.37594,39,1,19,4,5,4,4,1,1,1,1,1,70,3.4,1,1.3,7,1.15,1.18,2.1,1,1,1,1,1,11.13,1.59,0,1.28,0.6,0.7,0.6,0.6,0,0,0,0,0,1.85,0.53,0,0.11,0.85,0.06,0.07,0.32,0,0,0,0,0,1.05
S01A,강화 여차리갯벌,서해,2012,1,12-Jan,37.61164,126.37594,17,1,48,9,32,4,13,1,1,1,1,1,118,3.05,1,7.85,17,3.52,1.08,2,1,1,1,1,1,29.5,1.23,0,1.68,0.95,1.51,0.6,1.11,0,0,0,0,0,2.07,0.48,0,0.89,1.23,0.55,0.03,0.3,0,0,0,0,0,1.47
S01A,강화 여차리갯벌,서해,2012,2,12-Feb,37.61164,126.37594,56,1,1,3,1,12,5,1,1,3,1,11,85,12,1,1,11,1,1.6,2.2,1,1,1.1,1,2,24.9,1.75,0,0,0.48,0,1.08,0.7,0,0,0.48,0,1.04,1.93,1.08,0,0,1.04,0,0.2,0.34,0,0,0.04,0,0.3,1.4
S01A,강화 여차리갯벌,서해,2012,3,12-Mar,37.61164,126.37594,119,1,22,9,5,6,3,3,1,1,4,7,170,25,1,7,19,13,2,3,1.5,1,1,1,1.5,65,2.08,0,1.34,0.95,0.7,0.78,0.48,0.48,0,0,0.6,0.85,2.23,1.4,0,0.85,1.28,1.11,0.3,0.48,0.18,0,0,0,0.18,1.81
S01A,강화 여차리갯벌,서해,2012,4,12-Apr,37.61164,126.37594,157,2,39,3,5,8,3,1,1,2,1,1,212,6.54,1,3.9,4.5,1.6,2.2,1.5,1,1,1,1,1,15.24,2.2,0.3,1.59,0.48,0.7,0.9,0.48,0,0,0.3,0,0,2.33,0.82,0,0.59,0.65,0.2,0.34,0.18,0,0,0,0,0,1.18
S01A,강화 여차리갯벌,서해,2012,5,12-May,37.61164,126.37594,103,6,41,4,9,9,47,3,2,5,1,3,222,6.2,1.3,4.6,9,2,5.8,2.02,1.9,1.05,1.04,1,1.1,26.01,2.01,0.78,1.61,0.6,0.95,0.95,1.67,0.48,0.3,0.7,0,0.48,2.35,0.79,0.11,0.66,0.95,0.3,0.76,0.31,0.28,0.02,0.02,0,0.04,1.42
S01A,강화 여차리갯벌,서해,2012,6,12-Jun,37.61164,126.37594,172,1,45,1,12,7,102,5,1,4,1,7,347,8.5,1,52.42,1,2.24,1.3,29,1.2,1,1.04,1,4.5,93.2,2.24,0,1.65,0,1.08,0.85,2.01,0.7,0,0.6,0,0.85,2.54,0.93,0,1.72,0,0.35,0.11,1.46,0.08,0,0.02,0,0.65,1.97
S01A,강화 여차리갯벌,서해,2013,1,13-Jan,37.61164,126.37594,391,5,131,13,26,34,127,6,1,8,2,10,743,17.8,1.05,10.85,25,4.7,8.8,8,3,1,1.1,1.01,3.8,75.11,2.59,0.7,2.12,1.11,1.41,1.53,2.1,0.78,0,0.9,0.3,1,2.87,1.25,0.02,1.04,1.4,0.67,0.94,0.9,0.48,0,0.04,0,0.58,1.88
S01A,강화 여차리갯벌,서해,2013,2,13-Feb,37.61164,126.37594,118,1,9,8,7,9,22,6,1,2,1,1,174,27,1,4.5,60,2.7,4.7,7.6,1.8,1.01,1,1,1,102.31,2.07,0,0.95,0.9,0.85,0.95,1.34,0.78,0,0.3,0,0,2.24,1.43,0,0.65,1.78,0.43,0.67,0.88,0.26,0,0,0,0,2.01
S01A,강화 여차리갯벌,서해,2013,3,13-Mar,37.61164,126.37594,133,5,67,10,7,8,41,1,1,1,1,1,265,5.2,1.2,4.5,8.5,1.3,2.2,5.3,1,1,1,1,1,22.2,2.12,0.7,1.83,1,0.85,0.9,1.61,0,0,0,0,0,2.42,0.72,0.08,0.65,0.93,0.11,0.34,0.72,0,0,0,0,0,1.35
S01A,강화 여차리갯벌,서해,2013,4,13-Apr,37.61164,126.37594,173,21,59,1,9,14,2,25,1,3,1,1,299,15.5,1.2,4.3,1,2.88,1.9,3.8,2.35,1,1.01,1,1,25.94,2.24,1.32,1.77,0,0.95,1.15,0.3,1.4,0,0.48,0,0,2.48,1.19,0.08,0.63,0,0.46,0.28,0.58,0.37,0,0,0,0,1.41
S01A,강화 여차리갯벌,서해,2013,5,13-May,37.61164,126.37594,287,13,146,5,25,10,26,2,1,18,1,1,524,20.7,1.1,4.5,5,3.3,2.5,4.7,8,1,1.3,1,1,43.1,2.46,1.11,2.16,0.7,1.4,1,1.41,0.3,0,1.26,0,0,2.72,1.32,0.04,0.65,0.7,0.52,0.4,0.67,0.9,0,0.11,0,0,1.63
S01A,강화 여차리갯벌,서해,2013,6,13-Jun,37.61164,126.37594,104,1,8,2,21,16,11,3,1,7,1,4,168,2.6,1,8,13,2.1,3.8,2.6,46,1,1.1,1,1.2,72.4,2.02,0,0.9,0.3,1.32,1.2,1.04,0.48,0,0.85,0,0.6,2.23,0.41,0,0.9,1.11,0.32,0.58,0.41,1.66,0,0.04,0,0.08,1.86
S01A,강화 여차리갯벌,서해,2014,1,14-Jan,37.61164,126.37594,24,19,56,9,28,5,10,1,4,43,1,5,194,4.55,2.54,5.92,14.7,3.05,1.29,1.9,1,1.13,1.19,1,1.47,28.74,1.38,1.28,1.75,0.95,1.45,0.7,1,0,0.6,1.63,0,0.7,2.29,0.66,0.4,0.77,1.17,0.48,0.11,0.28,0,0.05,0.08,0,0.17,1.46
S01A,강화 여차리갯벌,서해,2014,2,14-Feb,37.61164,126.37594,157,40,86,27,56,23,44,4,5,90,8,11,540,10.8,4.4,6.2,24,5.3,4,3,8,1.7,1.81,1.06,14,73.27,2.2,1.6,1.93,1.43,1.75,1.36,1.64,0.6,0.7,1.95,0.9,1.04,2.73,1.03,0.64,0.79,1.38,0.72,0.6,0.48,0.9,0.23,0.26,0.03,1.15,1.86
S01A,강화 여차리갯벌,서해,2014,3,14-Mar,37.61164,126.37594,170,14,79,6,17,19,46,3,2,7,10,7,369,11.5,2.2,7.2,10,2.7,3.3,2.3,1.3,1.01,1.05,1.3,7.3,40.16,2.23,1.15,1.9,0.78,1.23,1.28,1.66,0.48,0.3,0.85,1,0.85,2.57,1.06,0.34,0.86,1,0.43,0.52,0.36,0.11,0,0.02,0.11,0.86,1.6
S01A,강화 여차리갯벌,서해,2014,4,14-Apr,37.61164,126.37594,288,32,85,41,63,21,67,12,13,105,1,9,726,20.6,2.5,4.2,28,603,4,10.2,13,2,3.1,1,15.5,696.1,2.46,1.51,1.93,1.61,1.8,1.32,1.83,1.08,1.11,2.02,0,0.95,2.86,1.31,0.4,0.62,1.45,2.78,0.6,1.01,1.11,0.3,0.49,0,1.19,2.84
S01A,강화 여차리갯벌,서해,2014,5,14-May,37.61164,126.37594,239,25,86,41,109,20,56,4,3,82,1,12,667,27.925,2.1,7.6,17,13.72,4.5,6.3,8.3,1.3,2.5,1,2.2,83.445,2.38,1.4,1.93,1.61,2.04,1.3,1.75,0.6,0.48,1.91,0,1.08,2.82,1.45,0.32,0.88,1.23,1.14,0.65,0.8,0.92,0.11,0.4,0,0.34,1.92
S01A,강화 여차리갯벌,서해,2014,6,14-Jun,37.61164,126.37594,256,49,202,73,88,15,43,6,4,108,1,6,840,61,6.4,25,18,9,4,7.2,51,1.1,3,1,1.5,177.2,2.41,1.69,2.31,1.86,1.94,1.18,1.63,0.78,0.6,2.03,0,0.78,2.92,1.79,0.81,1.4,1.26,0.95,0.6,0.86,1.71,0.04,0.48,0,0.18,2.25
S01A,강화 여차리갯벌,서해,2015,1,15-Jan,37.61164,126.37594,487,25,138,20,41,28,62,9,9,76,1,9,894,3.9,5.7,1.8,22,3.3,3.1,11.4,8.5,1.3,1.6,1,3.5,56.1,2.69,1.4,2.14,1.3,1.61,1.45,1.79,0.95,0.95,1.88,0,0.95,2.95,0.59,0.76,0.26,1.34,0.52,0.49,1.06,0.93,0.11,0.2,0,0.54,1.75
S01A,강화 여차리갯벌,서해,2015,2,15-Feb,37.61164,126.37594,485,63,121,62,197,22,99,8,2,194,1,4,1247,29.4,4.7,6.4,32,14.5,8,14,45,1.01,1.8,1,4,150.81,2.69,1.8,2.08,1.79,2.29,1.34,2,0.9,0.3,2.29,0,0.6,3.1,1.47,0.67,0.81,1.51,1.16,0.9,1.15,1.65,0,0.26,0,0.6,2.18
S01A,강화 여차리갯벌,서해,2015,3,15-Mar,37.61164,126.37594,382,20,194,11,28,12,17,6,1,3,1,2,666,32.2,4.1,13.4,8.2,3.9,4,2.8,2.2,1,1.1,1,5.5,68.4,2.58,1.3,2.29,1.04,1.45,1.08,1.23,0.78,0,0.48,0,0.3,2.82,1.51,0.61,1.13,0.91,0.59,0.6,0.45,0.34,0,0.04,0,0.74,1.84
S01A,강화 여차리갯벌,서해,2015,4,15-Apr,37.61164,126.37594,834,25,234,108,19,36,39,5,11,35,2,3,1340,11.9,1.8,24.2,36,4,3.8,8,1.3,2,1.34,1.01,2.5,86.85,2.92,1.4,2.37,2.03,1.28,1.56,1.59,0.7,1.04,1.54,0.3,0.48,3.13,1.08,0.26,1.38,1.56,0.6,0.58,0.9,0.11,0.3,0.13,0,0.4,1.94
S01A,강화 여차리갯벌,서해,2015,5,15-May,37.61164,126.37594,406,57,235,78,115,32,145,25,1,397,3,16,1499,17.4,4.5,5.8,24,2.4,5.8,15.7,20,1,3.5,1.1,1.8,92,2.61,1.76,2.37,1.89,2.06,1.51,2.16,1.4,0,2.6,0.48,1.2,3.18,1.24,0.65,0.76,1.38,0.38,0.76,1.2,1.3,0,0.54,0.04,0.26,1.96
S01A,강화 여차리갯벌,서해,2015,6,15-Jun,37.61164,126.37594,990,1,319,166,28,24,162,8,24,257,4,7,1979,19.6,1,5.3,71,2.6,16.4,8.8,3.8,1,2.3,1.05,1,122.85,3,0,2.5,2.22,1.45,1.38,2.21,0.9,1.38,2.41,0.6,0.85,3.3,1.29,0,0.72,1.85,0.41,1.21,0.94,0.58,0,0.36,0.02,0,2.09
S01A,강화 여차리갯벌,서해,2016,1,16-Jan,37.61164,126.37594,235,15,14,97,29,9,94,13,5,171,1,5,677,5.2,3,16,26,2.7,1.5,14,8,1.1,1.3,1,7.7,76.5,2.37,1.18,1.15,1.99,1.46,0.95,1.97,1.11,0.7,2.23,0,0.7,2.83,0.72,0.48,1.2,1.41,0.43,0.18,1.15,0.9,0.04,0.11,0,0.89,1.88
S01A,강화 여차리갯벌,서해,2016,2,16-Feb,37.61164,126.37594,285,2,4,202,84,34,244,3,1,15,1,1,865,6.8,1.1,44,46,4.6,2.2,6,14,1,1.1,1,1,117.8,2.45,0.3,0.6,2.31,1.92,1.53,2.39,0.48,0,1.18,0,0,2.94,0.83,0.04,1.64,1.66,0.66,0.34,0.78,1.15,0,0.04,0,0,2.07
S01A,강화 여차리갯벌,서해,2016,3,16-Mar,37.61164,126.37594,379,1,255,26,95,11,167,21,9,142,1,2,1098,19.8,1,6.5,4,2.3,2.1,28,7.3,2.5,2.3,1,7.5,73.3,2.58,0,2.41,1.41,1.98,1.04,2.22,1.32,0.95,2.15,0,0.3,3.04,1.3,0,0.81,0.6,0.36,0.32,1.45,0.86,0.4,0.36,0,0.88,1.87
S01A,강화 여차리갯벌,서해,2016,4,16-Apr,37.61164,126.37594,469,65,81,129,74,39,106,1,1,238,1,1,1194,7.7,2,4.2,24,3.3,2.6,7.3,1,1,3.1,1,1,47.2,2.67,1.81,1.91,2.11,1.87,1.59,2.03,0,0,2.38,0,0,3.08,0.89,0.3,0.62,1.38,0.52,0.41,0.86,0,0,0.49,0,0,1.67
S01A,강화 여차리갯벌,서해,2016,5,16-May,37.61164,126.37594,482,54,87,77,47,26,109,14,1,155,1,1,1043,14,4,3.8,29,4,2.8,8,3.1,1,2.5,1,1,63.2,2.68,1.73,1.94,1.89,1.67,1.41,2.04,1.15,0,2.19,0,0,3.02,1.15,0.6,0.58,1.46,0.6,0.45,0.9,0.49,0,0.4,0,0,1.8
